series_id,series_name,year,period,period_name,value,footnotes
LASST310000000000003,NE_state_unemp_rate,2024,M12,December,2.9,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2024,M11,November,2.8,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2024,M10,October,2.8,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2024,M09,September,2.8,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2024,M08,August,2.8,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2024,M07,July,2.8,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2024,M06,June,2.7,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2024,M05,May,2.7,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2024,M04,April,2.6,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2024,M03,March,2.6,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2024,M02,February,2.6,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2024,M01,January,2.5,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2023,M12,December,2.5,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2023,M11,November,2.5,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2023,M10,October,2.5,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2023,M09,September,2.4,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2023,M08,August,2.4,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2023,M07,July,2.3,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2023,M06,June,2.2,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2023,M05,May,2.2,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2023,M04,April,2.1,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2023,M03,March,2.1,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2023,M02,February,2.2,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2023,M01,January,2.2,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2022,M12,December,2.2,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2022,M11,November,2.3,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2022,M10,October,2.3,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2022,M09,September,2.3,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2022,M08,August,2.3,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2022,M07,July,2.2,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2022,M06,June,2.1,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2022,M05,May,2.1,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2022,M04,April,2.0,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2022,M03,March,2.0,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2022,M02,February,2.0,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2022,M01,January,2.1,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2021,M12,December,2.2,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2021,M11,November,2.3,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2021,M10,October,2.4,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2021,M09,September,2.5,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2021,M08,August,2.6,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2021,M07,July,2.7,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2021,M06,June,2.8,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2021,M05,May,2.8,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2021,M04,April,2.9,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2021,M03,March,2.9,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2021,M02,February,2.9,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2021,M01,January,2.9,"Data were subject to revision on April 8, 2026."
LASST310000000000003,NE_state_unemp_rate,2020,M12,December,3.0,
LASST310000000000003,NE_state_unemp_rate,2020,M11,November,3.0,
LASST310000000000003,NE_state_unemp_rate,2020,M10,October,3.1,
LASST310000000000003,NE_state_unemp_rate,2020,M09,September,3.4,
LASST310000000000003,NE_state_unemp_rate,2020,M08,August,3.8,
LASST310000000000003,NE_state_unemp_rate,2020,M07,July,4.6,
LASST310000000000003,NE_state_unemp_rate,2020,M06,June,5.3,
LASST310000000000003,NE_state_unemp_rate,2020,M05,May,6.4,
LASST310000000000003,NE_state_unemp_rate,2020,M04,April,8.2,
LASST310000000000003,NE_state_unemp_rate,2020,M03,March,4.4,
LASST310000000000003,NE_state_unemp_rate,2020,M02,February,3.0,
LASST310000000000003,NE_state_unemp_rate,2020,M01,January,3.0,
LASST310000000000003,NE_state_unemp_rate,2019,M12,December,3.1,
LASST310000000000003,NE_state_unemp_rate,2019,M11,November,3.1,
LASST310000000000003,NE_state_unemp_rate,2019,M10,October,3.1,
LASST310000000000003,NE_state_unemp_rate,2019,M09,September,3.2,
LASST310000000000003,NE_state_unemp_rate,2019,M08,August,3.2,
LASST310000000000003,NE_state_unemp_rate,2019,M07,July,3.1,
LASST310000000000003,NE_state_unemp_rate,2019,M06,June,3.1,
LASST310000000000003,NE_state_unemp_rate,2019,M05,May,3.1,
LASST310000000000003,NE_state_unemp_rate,2019,M04,April,3.1,
