company,cik,form,filing_date,accession_number,filing_url,index_url,sic,sic_description,state_of_incorporation
AMAZON COM INC,0001018724,10-K,2026-02-06,0001018724-26-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001018724&type=10-K,5961,Retail-Catalog & Mail-Order Houses,DE
AMAZON COM INC,0001018724,10-K,2025-02-07,0001018724-25-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001018724&type=10-K,5961,Retail-Catalog & Mail-Order Houses,DE
AMAZON COM INC,0001018724,10-K,2024-02-02,0001018724-24-000008,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001018724&type=10-K,5961,Retail-Catalog & Mail-Order Houses,DE
MICROSOFT CORP,0000789019,10-K,2025-07-30,0000950170-25-100235,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000789019&type=10-K,7372,Services-Prepackaged Software,WA
MICROSOFT CORP,0000789019,10-K,2024-07-30,0000950170-24-087843,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000789019&type=10-K,7372,Services-Prepackaged Software,WA
MICROSOFT CORP,0000789019,10-K,2023-07-27,0000950170-23-035122,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000789019&type=10-K,7372,Services-Prepackaged Software,WA
Alphabet Inc.,0001652044,10-K,2026-02-05,0001652044-26-000018,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001652044&type=10-K,7370,"Services-Computer Programming, Data Processing, Etc.",DE
Alphabet Inc.,0001652044,10-K,2025-02-05,0001652044-25-000014,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001652044&type=10-K,7370,"Services-Computer Programming, Data Processing, Etc.",DE
Alphabet Inc.,0001652044,10-K,2024-01-31,0001652044-24-000022,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001652044&type=10-K,7370,"Services-Computer Programming, Data Processing, Etc.",DE
"Meta Platforms, Inc.",0001326801,10-K,2026-01-29,0001628280-26-003942,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001326801&type=10-K,7370,"Services-Computer Programming, Data Processing, Etc.",DE
