Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2014.0,AK,Total Electric Industry,19.14,17.09,15.66,0.0,NA,17.46
2014.0,AL,Total Electric Industry,11.48,10.79,6.15,0.0,NA,9.27
2014.0,AR,Total Electric Industry,9.51,8.05,6.02,11.35,NA,7.9
2014.0,AZ,Total Electric Industry,11.9,10.13,6.46,0.0,NA,10.18
2014.0,CA,Total Electric Industry,16.25,15.62,12.34,8.9,NA,15.15
2014.0,CO,Total Electric Industry,12.18,10.08,7.47,10.79,NA,10.06
2014.0,CT,Total Electric Industry,19.75,15.55,12.92,13.08,NA,17.05
2014.0,DC,Total Electric Industry,12.74,12.19,8.41,8.8,NA,12.11
2014.0,DE,Total Electric Industry,13.29,10.5,8.58,0.0,NA,11.22
2014.0,FL,Total Electric Industry,11.89,9.87,7.9,9.25,NA,10.77
2014.0,GA,Total Electric Industry,11.65,10.36,6.64,6.98,NA,10.03
2014.0,HI,Total Electric Industry,37.04,34.21,30.22,0.0,NA,33.43
2014.0,IA,Total Electric Industry,11.16,8.67,5.71,0.0,NA,8.15
2014.0,ID,Total Electric Industry,9.72,7.78,6.4,0.0,NA,7.93
2014.0,IL,Total Electric Industry,11.91,9.26,6.85,6.85,NA,9.36
2014.0,IN,Total Electric Industry,11.46,9.96,6.97,10.2,NA,9.06
2014.0,KS,Total Electric Industry,12.17,10.13,7.8,0.0,NA,10.16
2014.0,KY,Total Electric Industry,10.16,9.44,5.68,0.0,NA,8.15
2014.0,LA,Total Electric Industry,9.57,9.1,6.05,9.27,NA,8.09
2014.0,MA,Total Electric Industry,17.39,14.68,12.74,8.76,NA,15.35
2014.0,MD,Total Electric Industry,13.63,11.15,9.04,8.5,NA,12.1
2014.0,ME,Total Electric Industry,15.27,12.7,8.95,0.0,NA,12.65
2014.0,MI,Total Electric Industry,14.46,10.87,7.68,9.43,NA,11.03
2014.0,MN,Total Electric Industry,12.01,9.85,6.72,9.79,NA,9.52
2014.0,MO,Total Electric Industry,10.64,8.9,6.36,7.81,NA,9.11
2014.0,MS,Total Electric Industry,11.32,10.76,6.6,0.0,NA,9.6
2014.0,MT,Total Electric Industry,10.18,9.64,5.49,0.0,NA,8.59
2014.0,NC,Total Electric Industry,11.1,8.75,6.5,7.84,NA,9.33
2014.0,ND,Total Electric Industry,9.15,8.79,7.62,0.0,NA,8.41
2014.0,NE,Total Electric Industry,10.4,8.73,7.47,0.0,NA,8.84
2014.0,NH,Total Electric Industry,17.53,14.34,11.93,0.0,NA,15.22
2014.0,NJ,Total Electric Industry,15.78,13.15,11.38,10.43,NA,13.95
2014.0,NM,Total Electric Industry,12.28,10.27,6.61,0.0,NA,9.65
2014.0,NV,Total Electric Industry,12.93,9.47,7.12,9.25,NA,9.73
2014.0,NY,Total Electric Industry,20.07,16.12,6.58,13.82,NA,16.25
2014.0,OH,Total Electric Industry,12.5,9.83,6.77,8.78,NA,9.73
2014.0,OK,Total Electric Industry,10.03,8.09,5.85,0.0,NA,8.18
2014.0,OR,Total Electric Industry,10.47,8.75,5.97,9.21,NA,8.68
2014.0,PA,Total Electric Industry,13.32,9.73,7.41,7.65,NA,10.28
2014.0,RI,Total Electric Industry,17.17,14.56,12.86,14.89,NA,15.41
