Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2014.0,NE,Total Electric Industry,10.4,8.73,7.47,0.0,NA,8.84
2014.0,NE,Full-Service Providers,10.4,8.73,7.47,0.0,NA,8.84
2013.0,NE,Total Electric Industry,10.31,8.6,7.44,0.0,NA,8.74
2013.0,NE,Full-Service Providers,10.31,8.6,7.44,0.0,NA,8.74
2012.0,NE,Total Electric Industry,10.04,8.38,7.01,0.0,NA,8.37
2012.0,NE,Full-Service Providers,10.04,8.38,7.01,0.0,NA,8.37
2011.0,NE,Total Electric Industry,9.32,7.99,6.43,0.0,NA,7.88
2011.0,NE,Full-Service Providers,9.32,7.99,6.43,0.0,NA,7.88
2010.0,NE,Total Electric Industry,8.94,7.64,6.0,0.0,NA,7.52
2010.0,NE,Full-Service Providers,8.94,7.63,6.0,0.0,NA,7.52
2009.0,NE,Total Electric Industry,8.52,7.33,5.75,0.0,NA,7.21
2009.0,NE,Full-Service Providers,8.52,7.33,5.75,0.0,NA,7.21
2008.0,NE,Total Electric Industry,7.87,6.68,5.16,0.0,NA,6.58
2008.0,NE,Full-Service Providers,7.87,6.68,5.16,0.0,NA,6.58
2007.0,NE,Total Electric Industry,7.59,6.39,4.78,0.0,NA,6.28
2007.0,NE,Full-Service Providers,7.59,6.39,4.78,0.0,NA,6.28
2006.0,NE,Total Electric Industry,7.41,6.19,4.56,0.0,NA,6.07
2006.0,NE,Full-Service Providers,7.41,6.19,4.56,0.0,NA,6.07
2005.0,NE,Total Electric Industry,7.14,5.98,4.43,0.0,NA,5.87
2005.0,NE,Full-Service Providers,7.14,5.98,4.43,0.0,NA,5.87
2004.0,NE,Total Electric Industry,6.96,5.84,4.28,0.0,NA,5.7
2004.0,NE,Full-Service Providers,6.96,5.84,4.28,0.0,NA,5.7
2003.0,NE,Total Electric Industry,6.87,5.81,4.18,0.0,NA,5.64
2003.0,NE,Full-Service Providers,6.87,5.81,4.18,0.0,NA,5.64
2002.0,NE,Total Electric Industry,6.73,5.62,3.89,NA,6.37,5.55
2002.0,NE,Full-Service Providers,6.73,5.62,3.89,NA,6.37,5.55
2001.0,NE,Total Electric Industry,6.5,5.48,3.76,NA,6.51,5.39
2001.0,NE,Full-Service Providers,6.5,5.48,3.76,NA,6.51,5.39
2000.0,NE,Total Electric Industry,6.53,5.42,3.61,NA,6.1,5.31
2000.0,NE,Full-Service Providers,6.53,5.42,3.61,NA,6.1,5.31
1999.0,NE,Total Electric Industry,6.52,5.44,3.57,NA,6.47,5.31
1999.0,NE,Full-Service Providers,6.52,5.44,3.57,NA,6.47,5.31
1998.0,NE,Total Electric Industry,6.46,5.45,3.6,NA,6.27,5.3
1998.0,NE,Full-Service Providers,6.46,5.45,3.6,NA,6.27,5.3
1997.0,NE,Total Electric Industry,6.38,5.46,3.61,NA,6.19,5.3
1997.0,NE,Full-Service Providers,6.38,5.46,3.61,NA,6.19,5.3
1996.0,NE,Total Electric Industry,6.29,5.49,3.68,NA,6.49,5.32
1996.0,NE,Full-Service Providers,6.29,5.49,3.68,NA,6.49,5.32
1995.0,NE,Total Electric Industry,6.37,5.56,3.84,NA,5.86,5.4
1995.0,NE,Full-Service Providers,6.37,5.56,3.84,NA,5.86,5.4
1994.0,NE,Total Electric Industry,6.31,5.58,3.99,NA,6.53,5.49
1994.0,NE,Full-Service Providers,6.31,5.58,3.99,NA,6.53,5.49
1993.0,NE,Total Electric Industry,6.25,5.68,4.04,NA,6.99,5.54
1993.0,NE,Full-Service Providers,6.25,5.68,4.04,NA,6.99,5.54
1992.0,NE,Total Electric Industry,6.27,5.64,4.06,NA,6.77,5.53
1992.0,NE,Full-Service Providers,6.27,5.64,4.06,NA,6.77,5.53
1991.0,NE,Total Electric Industry,6.09,5.61,4.15,NA,6.22,5.48
1991.0,NE,Full-Service Providers,6.09,5.61,4.15,NA,6.22,5.48
1990.0,NE,Total Electric Industry,6.23,5.73,4.19,NA,6.39,5.57
1990.0,NE,Full-Service Providers,6.23,5.73,4.19,NA,6.39,5.57
