Entity ID,Entity Name,Plant ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating Year,Retirement Month,Retirement Year,Nameplate Energy Capacity (MWh),DC Net Capacity (MW),Latitude,Longitude
13698,North Central Public Pwr Dist,2297,Plainview Muncipal Power,Map,Map,NE,Pierce,SWPP,Electric Utility,1,,1.1,1.1,1.1,Petroleum Liquids,DFO,IC,1,1949,1,2023, , ,42.35,-97.79056
13698,North Central Public Pwr Dist,2297,Plainview Muncipal Power,Map,Map,NE,Pierce,SWPP,Electric Utility,3,,0.9,0.9,0.9,Petroleum Liquids,DFO,IC,1,1958,1,2023, , ,42.35,-97.79056
13698,North Central Public Pwr Dist,2297,Plainview Muncipal Power,Map,Map,NE,Pierce,SWPP,Electric Utility,4,,1.2,1.2,1.2,Petroleum Liquids,DFO,IC,1,1963,1,2023, , ,42.35,-97.79056
13698,North Central Public Pwr Dist,2297,Plainview Muncipal Power,Map,Map,NE,Pierce,SWPP,Electric Utility,5,,1.8,1.8,1.8,Petroleum Liquids,DFO,IC,6,1999,1,2023, , ,42.35,-97.79056
871,Village of Arnold - (NE),2216,Arnold,Map,Map,NE,Custer,SWPP,Electric Utility,1,,0.5,0.5,0.5,Petroleum Liquids,DFO,IC,1,1960,7,2022, , ,41.421928,-100.1956
871,Village of Arnold - (NE),2216,Arnold,Map,Map,NE,Custer,SWPP,Electric Utility,2A,,0.1,0.1,0.1,Petroleum Liquids,DFO,IC,1,1937,7,2022, , ,41.421928,-100.1956
871,Village of Arnold - (NE),2216,Arnold,Map,Map,NE,Custer,SWPP,Electric Utility,3,,0.2,0.2,0.2,Petroleum Liquids,DFO,IC,1,1942,7,2022, , ,41.421928,-100.1956
871,Village of Arnold - (NE),2216,Arnold,Map,Map,NE,Custer,SWPP,Electric Utility,4,,0.3,0.2,0.2,Petroleum Liquids,DFO,IC,1,1946,7,2022, , ,41.421928,-100.1956
13337,Nebraska Public Power District,2278,Spencer Hydro,Map,Map,NE,Boyd,SWPP,Electric Utility,1,,0.8,0,0,Conventional Hydroelectric,WAT,HY,1,1927,3,2019, , ,42.809337,-98.65628
13337,Nebraska Public Power District,2278,Spencer Hydro,Map,Map,NE,Boyd,SWPP,Electric Utility,2,,1.6,0,0,Conventional Hydroelectric,WAT,HY,1,1952,3,2019, , ,42.809337,-98.65628
