Utility ID,Utility Name,Plant Code,Plant Name,Street Address,City,State,Zip,County,Latitude,Longitude,NERC Region,Balancing Authority Code,Balancing Authority Name,Name of Water Source,Primary Purpose (NAICS Code),Regulatory Status,Sector,Sector Name,FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,Ash Impoundment?,Ash Impoundment Lined?,Ash Impoundment Status,Transmission or Distribution System Owner,Transmission or Distribution System Owner ID,Transmission or Distribution System Owner State,Grid Voltage (kV),Grid Voltage 2 (kV),Grid Voltage 3 (kV),Energy Storage,Natural Gas LDC Name,Natural Gas Pipeline Name 1,Natural Gas Pipeline Name 2,Natural Gas Pipeline Name 3,Pipeline Notes,Natural Gas Storage,Liquefied Natural Gas Storage
40606,City of Grand Island - (NE),59,Platte,1035 W Wildwood Drive,Grand Island,NE,68801,Hall,40.854765,-98.348222,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Grand Island - (NE),40606,NE,115, , ,N,,,,,,N,X
8245,City of Hastings - (NE),60,Whelan Energy Center,4520 East South St.,Hastings,NE,68902,Adams,40.580872,-98.312437,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,Y,N,OP,Nebraska Public Power District,13337,NE,115, , ,N,,,,,,X,X
3271,Central Nebraska Pub P&I Dist,785,Kingsley,199 Central District Drive,Ogallala,NE,69153,Keith,41.2114,-101.6681,MRO,SWPP,Southwest Power Pool,North Platte River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,115, , ,N,,,,,,X,X
695,City of Ansley - (NE),2214,Ansley,909 Division Street,Ansley,NE,68814,Custer,41.289185,-99.386336,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Custer Public Power District,4671,NE,2.4, , ,N,,BLACK HILLS ENERGY,,,,N,X
993,Auburn Board of Public Works,2215,Auburn,1517 16th Street,Auburn,NE,68305,Nemaha,40.3883,-95.8464,MRO,SWPP,Southwest Power Pool,Wells (Municipal Wells),22,RE,1,Electric Utility,N,,N,,N,,N,X,,Omaha Public Power District,14127,NE,69, , ,N,,BLACK HILLS ENERGY,,,,N,
871,Village of Arnold - (NE),2216,Arnold,209 West 1st.,Arnold,NE,69120,Custer,41.421928,-100.19561,MRO,SWPP,Southwest Power Pool,Municipality Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Custer Public Power District,4671,NE,216, , ,N,,,,,,N,X
1435,City of Beaver City - (NE),2217,Beaver City,PO Box 185,Beaver City,NE,68926,Furnas,40.130304,-99.827772,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,City of Beaver City - (NE),1435,NE,4.1, , ,N,,SOURCE GAS DISTRIBUTION LLC,,,,N,N
2277,City of Broken Bow - (NE),2221,Broken Bow,145 South 8th Ave,Broken Bow,NE,68822,Custer,41.4031,-99.6392,MRO,SWPP,Southwest Power Pool,,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,69, , ,N,BLACK HILLS ENERGY,,,,,N,X
2609,City of Burwell - (NE),2222,Burwell,834 H St,Burwell,NE,68823,Garfield,41.780313,-99.136071,MRO,SWPP,Southwest Power Pool,Wells,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,34.5, , ,N,,,,,,N,N
2888,City of Cambridge - (NE),2223,Cambridge,421 Nasby Street,Cambridge,NE,69022,Furnas,40.286178,-100.176836,MRO,SWPP,Southwest Power Pool,Municipality,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Twin Valleys Public Power Dist,20456,NE,69, , ,N,,,,,,N,X
