Year,State Code,Producer Type,Fuel Source,Generators,Facilities,Nameplate Capacity (Megawatts),Summer Capacity (Megawatts)
1990,NE,"Combined Heat and Power, Industrial Power",All Sources,,2,8.9,8.3
1990,NE,"Combined Heat and Power, Industrial Power",Coal,,2,8.9,8.3
1990,NE,"Electric Generators, Electric Utilities",All Sources,,98,5879.14,5451.74
1990,NE,"Electric Generators, Electric Utilities",Coal,,8,3304.42,3094.1
1990,NE,"Electric Generators, Electric Utilities",Hydroelectric,,11,183.08,167.88
1990,NE,"Electric Generators, Electric Utilities",Natural Gas,,40,606.74,565.44
1990,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1337.55,1254
1990,NE,"Electric Generators, Electric Utilities",Petroleum,,37,447.35,370.32
1990,NE,Total Electric Power Industry,All Sources,,100,5888.04,5460.04
1990,NE,Total Electric Power Industry,Coal,,,3313.32,3102.4
1990,NE,Total Electric Power Industry,Hydroelectric,,11,183.08,167.88
1990,NE,Total Electric Power Industry,Natural Gas,,40,606.74,565.44
1990,NE,Total Electric Power Industry,Nuclear,,2,1337.55,1254
1990,NE,Total Electric Power Industry,Petroleum,,,447.35,370.32
1991,NE,"Combined Heat and Power, Industrial Power",All Sources,,1,7.9,7.4
1991,NE,"Combined Heat and Power, Industrial Power",Coal,,1,7.9,7.4
1991,NE,"Electric Generators, Electric Utilities",All Sources,,95,5740.49,5450.05
1991,NE,"Electric Generators, Electric Utilities",Coal,,7,3168.07,3087.1
1991,NE,"Electric Generators, Electric Utilities",Hydroelectric,,11,183.08,167.78
1991,NE,"Electric Generators, Electric Utilities",Natural Gas,,39,676.84,630.36
1991,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1337.55,1254
1991,NE,"Electric Generators, Electric Utilities",Petroleum,,36,374.95,310.82
1991,NE,Total Electric Power Industry,All Sources,,96,5748.39,5457.45
1991,NE,Total Electric Power Industry,Coal,,,3175.97,3094.5
1991,NE,Total Electric Power Industry,Hydroelectric,,11,183.08,167.78
1991,NE,Total Electric Power Industry,Natural Gas,,39,676.84,630.36
1991,NE,Total Electric Power Industry,Nuclear,,2,1337.55,1254
1991,NE,Total Electric Power Industry,Petroleum,,,374.95,310.82
1992,NE,"Combined Heat and Power, Industrial Power",All Sources,,2,8.9,8.3
1992,NE,"Combined Heat and Power, Industrial Power",Coal,,2,8.9,8.3
1992,NE,"Electric Generators, Electric Utilities",All Sources,,93,5762.63,5452.56
1992,NE,"Electric Generators, Electric Utilities",Coal,,7,3167.92,3065.6
1992,NE,"Electric Generators, Electric Utilities",Hydroelectric,,11,183.08,167.78
1992,NE,"Electric Generators, Electric Utilities",Natural Gas,,39,677.24,630.89
1992,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1337.55,1254
1992,NE,"Electric Generators, Electric Utilities",Petroleum,,34,396.84,334.29
1992,NE,Total Electric Power Industry,All Sources,,95,5771.53,5460.86
1992,NE,Total Electric Power Industry,Coal,,,3176.82,3073.9
1992,NE,Total Electric Power Industry,Hydroelectric,,11,183.08,167.78
1992,NE,Total Electric Power Industry,Natural Gas,,39,677.24,630.89
1992,NE,Total Electric Power Industry,Nuclear,,2,1337.55,1254
1992,NE,Total Electric Power Industry,Petroleum,,,396.84,334.29
1993,NE,"Combined Heat and Power, Industrial Power",All Sources,,2,8.9,8.3
1993,NE,"Combined Heat and Power, Industrial Power",Coal,,2,8.9,8.3
1993,NE,"Electric Generators, Electric Utilities",All Sources,,95,5777.7,5511.61
1993,NE,"Electric Generators, Electric Utilities",Coal,,7,3167.92,3102.8
1993,NE,"Electric Generators, Electric Utilities",Hydroelectric,,11,183.08,167.69
1993,NE,"Electric Generators, Electric Utilities",Natural Gas,,41,684.74,644.94
1993,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1337.55,1254
1993,NE,"Electric Generators, Electric Utilities",Petroleum,,34,404.41,342.18
1993,NE,Total Electric Power Industry,All Sources,,97,5786.6,5519.91
1993,NE,Total Electric Power Industry,Coal,,,3176.82,3111.1
1993,NE,Total Electric Power Industry,Hydroelectric,,11,183.08,167.69
1993,NE,Total Electric Power Industry,Natural Gas,,41,684.74,644.94
1993,NE,Total Electric Power Industry,Nuclear,,2,1337.55,1254
1993,NE,Total Electric Power Industry,Petroleum,,,404.41,342.18
1994,NE,"Combined Heat and Power, Industrial Power",All Sources,,2,8.9,8.3
1994,NE,"Combined Heat and Power, Industrial Power",Coal,,2,8.9,8.3
1994,NE,"Electric Generators, Electric Utilities",All Sources,,95,5777.88,5517.51
1994,NE,"Electric Generators, Electric Utilities",Coal,,7,3167.92,3111.9
1994,NE,"Electric Generators, Electric Utilities",Hydroelectric,,11,183.08,166.69
1994,NE,"Electric Generators, Electric Utilities",Natural Gas,,41,684.97,642.54
1994,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1337.55,1254
1994,NE,"Electric Generators, Electric Utilities",Petroleum,,34,404.35,342.38
1994,NE,Total Electric Power Industry,All Sources,,97,5786.78,5525.81
1994,NE,Total Electric Power Industry,Coal,,,3176.82,3120.2
1994,NE,Total Electric Power Industry,Hydroelectric,,11,183.08,166.69
1994,NE,Total Electric Power Industry,Natural Gas,,41,684.97,642.54
1994,NE,Total Electric Power Industry,Nuclear,,2,1337.55,1254
1994,NE,Total Electric Power Industry,Petroleum,,,404.35,342.38
1995,NE,"Combined Heat and Power, Industrial Power",All Sources,,3,10.4,9.71
1995,NE,"Combined Heat and Power, Industrial Power",Coal,,3,10.4,9.71
1995,NE,"Electric Generators, Electric Utilities",All Sources,,94,5777.47,5528.97
1995,NE,"Electric Generators, Electric Utilities",Coal,,7,3167.92,3111.9
1995,NE,"Electric Generators, Electric Utilities",Hydroelectric,,11,183.08,166.69
1995,NE,"Electric Generators, Electric Utilities",Natural Gas,,41,706.97,665.74
1995,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1337.55,1254
1995,NE,"Electric Generators, Electric Utilities",Petroleum,,33,381.95,330.64
1995,NE,Total Electric Power Industry,All Sources,,97,5787.87,5538.68
1995,NE,Total Electric Power Industry,Coal,,,3178.32,3121.61
1995,NE,Total Electric Power Industry,Hydroelectric,,11,183.08,166.69
1995,NE,Total Electric Power Industry,Natural Gas,,41,706.97,665.74
1995,NE,Total Electric Power Industry,Nuclear,,2,1337.55,1254
1995,NE,Total Electric Power Industry,Petroleum,,,381.95,330.64
1996,NE,"Combined Heat and Power, Industrial Power",All Sources,,2,9.4,8.8
1996,NE,"Combined Heat and Power, Industrial Power",Coal,,1,7.9,7.4
1996,NE,"Combined Heat and Power, Industrial Power",Natural Gas,,2,1.5,1.4
1996,NE,"Electric Generators, Electric Utilities",All Sources,,93,5881.33,5631.72
1996,NE,"Electric Generators, Electric Utilities",Coal,,7,3167.92,3111.4
1996,NE,"Electric Generators, Electric Utilities",Hydroelectric,,11,183.08,166.69
1996,NE,"Electric Generators, Electric Utilities",Natural Gas,,40,588.67,559.17
1996,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1337.55,1250
1996,NE,"Electric Generators, Electric Utilities",Petroleum,,33,604.11,544.46
1996,NE,Total Electric Power Industry,All Sources,,95,5890.73,5640.52
1996,NE,Total Electric Power Industry,Coal,,,3175.82,3118.8
1996,NE,Total Electric Power Industry,Hydroelectric,,11,183.08,166.69
1996,NE,Total Electric Power Industry,Natural Gas,,41,590.17,560.57
1996,NE,Total Electric Power Industry,Nuclear,,2,1337.55,1250
1996,NE,Total Electric Power Industry,Petroleum,,,604.11,544.46
1997,NE,"Combined Heat and Power, Commercial Power",All Sources,,1,2.1,2.05
1997,NE,"Combined Heat and Power, Commercial Power",Other Biomass,,,2.1,2.05
1997,NE,"Combined Heat and Power, Electric Power",All Sources,,1,1.5,1.46
1997,NE,"Combined Heat and Power, Electric Power",Other Biomass,,,1.5,1.46
1997,NE,"Combined Heat and Power, Industrial Power",All Sources,,2,9.4,8.8
1997,NE,"Combined Heat and Power, Industrial Power",Coal,,1,7.9,7.4
1997,NE,"Combined Heat and Power, Industrial Power",Natural Gas,,2,1.5,1.4
1997,NE,"Electric Generators, Electric Utilities",All Sources,,96,5980.02,5760.17
1997,NE,"Electric Generators, Electric Utilities",Coal,,7,3167.92,3151.8
1997,NE,"Electric Generators, Electric Utilities",Hydroelectric,,11,183.08,166.69
1997,NE,"Electric Generators, Electric Utilities",Natural Gas,,40,684.47,644.22
1997,NE,"Electric Generators, Electric Utilities",Nuclear,,2,1337.55,1250
1997,NE,"Electric Generators, Electric Utilities",Petroleum,,36,607,547.46
1997,NE,Total Electric Power Industry,All Sources,,100,5993.02,5772.48
1997,NE,Total Electric Power Industry,Coal,,,3175.82,3159.2
1997,NE,Total Electric Power Industry,Hydroelectric,,11,183.08,166.69
1997,NE,Total Electric Power Industry,Natural Gas,,41,685.97,645.62
1997,NE,Total Electric Power Industry,Nuclear,,2,1337.55,1250
1997,NE,Total Electric Power Industry,Other Biomass,,,3.6,3.51
1997,NE,Total Electric Power Industry,Petroleum,,,607,547.46
1998,NE,"Combined Heat and Power, Commercial Power",All Sources,,3,6.85,6.64
1998,NE,"Combined Heat and Power, Commercial Power",Natural Gas,,2,3.75,3.66
1998,NE,"Combined Heat and Power, Commercial Power",Other Biomass,,,2.1,2.05
1998,NE,"Combined Heat and Power, Commercial Power",Petroleum,,1,1,0.93
1998,NE,"Combined Heat and Power, Electric Power",All Sources,,1,1.5,1.46
1998,NE,"Combined Heat and Power, Electric Power",Other Biomass,,,1.5,1.46
