YEAR,PSTATABB,FIPSST,STNAMEPCAP,STHTIAN,STHTIOZ,STHTIANT,STHTIOZT,STNGENAN,STNGENOZ,STNOXAN,STNOXOZ,STSO2AN,STCO2AN,STCH4AN,STN2OAN,STCO2EQA,STHGAN,STNOXRTA,STNOXRTO,STSO2RTA,STCO2RTA,STCH4RTA,STN2ORTA,STC2ERTA,STHGRTA,STNOXRA,STNOXRO,STSO2RA,STCO2RA,STCH4RA,STN2ORA,STC2ERA,STHGRA,STNOXCRT,STNOXCRO,STSO2CRT,STCO2CRT,STCH4CRT,STN2OCRT,STC2ECRT,STHGCRT,STCNOXRT,STONOXRT,STGNOXRT,STFSNXRT,STCNXORT,STONXORT,STGNXORT,STFSNORT,STCSO2RT,STOSO2RT,STGSO2RT,STFSS2RT,STCCO2RT,STOCO2RT,STGCO2RT,STFSC2RT,STCCH4RT,STOCH4RT,STGCH4RT,STFCH4RT,STCN2ORT,STON2ORT,STGN2ORT,STFN2ORT,STCC2ERT,STOC2ERT,STGC2ERT,STFSC2ERT,STCHGRT,STFSHGRT,STCNOXR,STONOXR,STGNOXR,STFSNXR,STCNXOR,STONXOR,STGNXOR,STFSNOR,STCSO2R,STOSO2R,STGSO2R,STFSS2R,STCCO2R,STOCO2R,STGCO2R,STFSC2R,STCCH4R,STOCH4R,STGCH4R,STFCH4R,STCN2OR,STON2OR,STGN2OR,STFN2OR,STCC2ER,STOC2ER,STGC2ER,STFSC2ER,STCHGR,STFSHGR,STNBNOX,STNBNXO,STNBSO2,STNBCO2,STNBCH4,STNBN2O,STNBC2E,STNBHG,STGENACL,STGENAOL,STGENAGS,STGENANC,STGENAHY,STGENABM,STGENAWI,STGENASO,STGENAGT,STGENAOF,STGENAOP,STGENATN,STGENATR,STGENATH,STGENACY,STGENACN,STCLPR,STOLPR,STGSPR,STNCPR,STHYPR,STBMPR,STWIPR,STSOPR,STGTPR,STOFPR,STOPPR,STTNPR,STTRPR,STTHPR,STCYPR,STCNPR,STNBGNCL,STNBGNOL,STNBGNGS,STNBGNNC,STNBGNHY,STNBGNBM,STNBGNWI,STNBGNSO,STNBGNGT,STNBGNOF,STNBGNOP,STNBCLPR,STNBOLPR,STNBGSPR,STNBNCPR,STNBHYPR,STNBBMPR,STNBWIPR,STNBSOPR,STNBGTPR,STNBOFPR,STNBOPPR
2022,AK,02,3090.7,42947821.434,17077867.123,49269251.438,19902195.121,6694128.234,2737605.107,19258.156,8104.531,1630.658,3054912.136,478508.368,66317.254,3070774.769,--,5.754,5.921,0.487,912.714,0.071,0.01,917.453,--,0.897,0.949,0.076,142.262,0.011,0.002,143,--,7.956,8.187,0.674,1261.988,0.099,0.014,1268.541,--,3.394,18.697,6.197,7.984,3.049,19.138,7.047,8.517,1.684,2.242,0.027,0.673,2298.755,1503.638,972.15,1268.977,0.2581,0.2682,0.0186,0.0994,0.0376,0.0383,0.0019,0.0138,2316.417,1521.745,973.171,1275.567,--,--,0.314,2.06,0.745,0.904,0.296,2.058,0.834,0.957,0.156,0.247,0.003,0.076,212.559,165.666,116.889,143.663,0.0239,0.0296,0.0022,0.0113,0.0035,0.0042,0.0002,0.0016,214.192,167.661,117.012,144.409,--,--,10.053,10.49,0.85,1285.048,0.114,0.016,1292.624,--,726934.03,847525.55,3229376.009,0,1713426,40835.788,139276,0,0,0,-3245,4800590.589,1893537.788,180111.788,4841426.377,1852702,0.108540167776284,0.126545960974874,0.482185451999774,0,0.255835519919528,0.00609728406963804,0.0207956152599016,0,0,0,0,0.717134527251389,0.282865472748611,0.0268928993295396,0.723234766998852,0.276765233001148,400876.837023865,781528.258902606,1713008.17140648,0,0,26859.0498147045,0,0,0,0,0,0.137179835935054,0.267438545790775,0.586190466013276,0,0,0.00919115226089568,0,0,0,0,0
2022,AL,01,30514.9,760016896.45,364024988.285,797831351.456,379528912.288,144788892.892,66559324.142,17473.977,8045.399,6087.424,57021949.396,7893002.802,1147933.705,57290785.837,--,0.241,0.242,0.084,787.656,0.055,0.008,791.37,--,0.046,0.044,0.016,150.054,0.01,0.002,150.762,--,0.382,0.383,0.133,1247.848,0.086,0.013,1253.731,--,0.649,43.124,0.147,0.359,0.648,43.175,0.152,0.355,0.2,4.093,0.005,0.087,1903.798,2305.601,852.794,1296.593,0.1787,0.0934,0.0162,0.0848,0.0257,0.0187,0.0017,0.0119,1915.937,2313.497,853.673,1302.226,--,--,0.064,3.055,0.02,0.043,0.063,3.053,0.021,0.041,0.02,0.29,0.001,0.01,188.498,163.326,118.556,153.98,0.0177,0.0066,0.0023,0.0101,0.0025,0.0013,0.0002,0.0014,189.7,163.885,118.678,154.649,--,--,0.405,0.395,0.171,1077.406,0.048,0.007,1080.597,--,25943990.5,40917.091,62217445.395,42313657,10188211,3190146.72,0,894571,0,4.327,-50,130515964.313,14272928.72,4084717.72,91392454.033,53396439,0.179184887716784,0.000282598174576592,0.429711303167808,0.292243703929491,0.0703659463670366,0.0220330824521104,0,0.00617844830731385,0,2.98848787024697e-08,0,0.901422488831744,0.0985775111682561,0.0282115307594242,0.631211774042433,0.368788225957567,9246337.01377648,386,18117000.0181943,0,0,1075514.23634078,0,0,0,0,0,0.325126054772194,1.3572797201214e-05,0.637042401920574,0,0,0.0378179705100308,0,0,0,0,0
2022,AR,05,16572.1,419709148.275,201637609.193,434056832.277,208190715.193,65905029.856,30952952.92,17439.141,8613.063,32355.84,34791293.551,5545693.711,802113.94,34980129.702,--,0.529,0.557,0.982,1055.801,0.084,0.012,1061.531,--,0.083,0.085,0.154,165.788,0.013,0.002,166.687,--,0.737,0.775,1.368,1470.816,0.117,0.017,1478.799,--,1.429,0,0.184,0.733,1.508,0,0.217,0.767,3.026,0,0.011,1.34,2295.869,0,874.234,1500.884,0.2482,0,0.0162,0.1185,0.0361,0,0.0016,0.0168,2312.837,0,875.12,1508.859,--,--,0.13,0,0.025,0.082,0.134,0,0.029,0.084,0.276,0,0.002,0.15,209.697,0,118.857,167.899,0.0227,0,0.0022,0.0133,0.0033,0,0.0002,0.0019,211.247,0,118.977,168.791,--,--,0.983,1.028,2.081,1573.057,0.131,0.019,1581.992,--,20360869.447,64318.705,26037432.773,14323697,3536021,841312.127,0,736481.08,0,5221.069,-323,60791215.994,5113814.207,1577793.207,47308831.121,18596199.08,0.308941056501175,0.000975925351675744,0.395073108759319,0.217337383145724,0.053653016458553,0.0127654596499034,0,0.0111748294217294,0,7.92207119211794e-05,0,0.922406314185675,0.0775936858143251,0.0239402890716328,0.717833388084574,0.282166611915426,10593252.6661637,0,11302051.7863137,0,0,642729.372255659,0,0,0,0,0,0.470016717010103,0,0.501465738946178,0,0,0.0285175440437193,0,0,0,0,0
2022,AZ,04,31308.8,509826015.764,252434409.312,557359337.764,274441723.318,104698773.165,49980296.997,17298.842,8712.074,7457.697,37122021.252,4417886.386,611415.534,37268345.746,--,0.33,0.349,0.142,709.12,0.042,0.006,711.916,--,0.068,0.069,0.029,145.626,0.009,0.001,146.2,--,0.589,0.622,0.254,1264.202,0.075,0.01,1269.185,--,1.627,21.042,0.243,0.583,1.647,21,0.235,0.588,1.011,10.083,0.006,0.253,2346.901,3858.583,916.385,1268.112,0.2511,0.1562,0.0137,0.0721,0.0365,0.0312,0.0014,0.01,2364.042,3871.792,917.136,1272.893,--,--,0.141,0.891,0.031,0.067,0.145,0.89,0.031,0.069,0.088,0.427,0.001,0.029,203.458,163.326,118.741,146.498,0.0218,0.0066,0.0018,0.0083,0.0032,0.0013,0.0002,0.0012,204.944,163.885,118.838,147.05,--,--,0.541,0.538,0.217,1225.397,0.067,0.009,1229.787,--,13449468.12,32203.535,45053244.833,31942793,5394576.9,204265.65,1564348,7069078.92,0,0,-11206,90466503.488,14232269.47,8837692.57,58727976.138,45970796.82,0.128444951033699,0.000307549818273931,0.430266964823584,0.3050596831159,0.0515192243727201,0.00195077538963056,0.0149398177286185,0.067511033717574,0,0,0,0.864064601065484,0.135935398934516,0.084401626835823,0.56092325133131,0.43907674866869,8183914.11812532,48,28598135.6955732,0,0,10581.0204101475,0,0,0,0,0,0.222433222517585,1.30460737084198e-06,0.777277887933001,0,0,0.000287584942043914,0,0,0,0,0
2022,CA,06,91112.2,843600335.466,387320463.159,1134666681.455,533966262.167,203256382.497,97408319.223,40963.849,17406.798,1558.131,46336381.173,5211890.122,635327.432,46493366.228,--,0.403,0.357,0.015,455.94,0.026,0.003,457.485,--,0.097,0.09,0.004,109.854,0.006,0.001,110.226,--,0.79,0.701,0.03,893.95,0.05,0.006,896.979,--,1.096,22.559,0.658,0.679,0.954,26.321,0.614,0.633,0.108,1.24,0.009,0.01,1084.713,1785.611,926.215,925.125,0.1201,0.075,0.0164,0.0167,0.0174,0.0148,0.0017,0.0017,1092.9,1791.903,927.118,926.051,--,--,0.197,1.911,0.084,0.087,0.165,2.21,0.077,0.08,0.019,0.105,0.001,0.001,195.278,151.279,117.982,118.169,0.0216,0.0064,0.0021,0.0021,0.0031,0.0013,0.0002,0.0002,196.752,151.812,118.097,118.288,--,--,0.636,0.575,0.02,986.022,0.038,0.005,988.319,--,251564.9,153433.392,96366640.285,17593254,17489101,5287208.86,14561088,38765399.84,11180964,1586660.656,21070.42,115972623.653,87283761.7,69794660.7,103666578.513,99589806.84,0.00123767280207754,0.000754876122260704,0.474113716612828,0.0865569559817046,0.0860445341956971,0.02601251050892,0.0716390187433051,0.190721682729304,0.0550091648072053,0.00780620325036485,0.000103664246333056,0.570573089015569,0.429426910984431,0.343382376788734,0.510028643542784,0.489971356457216,132870.857756096,66415.6903000754,54719556.5569486,0,0,1758575.34341132,0,0,0,261884.682457792,0,0.00233355258055573,0.00116642963029281,0.961015564787942,0,0,0.0308850872194426,0,0,0,0.00459936578176686,0
2022,CO,08,20495.1,388872546.322,177473490.49,459517706.323,206130915.492,58012255.357,25576680.44,18441.622,8502.811,10443.235,33826985.225,5961423.987,852213.415,34028482.785,--,0.636,0.665,0.36,1166.201,0.103,0.015,1173.148,--,0.095,0.096,0.054,173.975,0.015,0.002,175.011,--,0.987,1.032,0.559,1810.013,0.159,0.023,1820.795,--,1.319,16.117,0.483,0.983,1.302,14.494,0.516,0.987,0.937,6.939,0.007,0.561,2290.062,2671.089,1130.986,1820.294,0.2525,0.1082,0.0196,0.1581,0.0367,0.0216,0.002,0.0226,2307.31,2680.239,1132.065,1830.988,--,--,0.12,0.985,0.051,0.094,0.12,0.968,0.054,0.095,0.085,0.424,0.001,0.054,207.761,163.326,118.878,174.834,0.0229,0.0066,0.0021,0.0152,0.0033,0.0013,0.0002,0.0022,209.326,163.885,118.992,175.861,--,--,0.904,0.913,0.428,1676.219,0.129,0.018,1684.887,--,21723003.8,26747.438,15414230.436,0,1323397,162929.161,16911126,2400122,0,2609,48090,37214680.674,20797574.161,19474177.161,37377609.835,20634645,0.374455429491323,0.000461065305530284,0.265706452539064,0,0.0228123696236949,0.00280853005047653,0.291509544803922,0.0413726721505049,0,4.49732562097541e-05,0.000828962779274463,0.641496883371401,0.358503116628599,0.335690747004904,0.644305413421878,0.355694586578122,10278660.7498972,3806.001,11366156.8158728,0,0,41911.1584895041,0,0,0,2609.001,0,0.473820709418658,0.000175447184973603,0.523951574714093,0,0,0.00193200022174613,0,0,0,0.000120268460529389,0
2022,CT,09,10939.8,189750215.953,86509193.275,196319422.957,89017808.277,42761369.034,18870116.252,4415.653,1853.31,1823.106,11136420.563,1671900.78,208945.427,11188452.19,--,0.207,0.196,0.085,520.864,0.039,0.005,523.297,--,0.047,0.043,0.019,117.38,0.009,0.001,117.928,--,0.345,0.329,0.143,871.231,0.065,0.008,875.302,--,0,3.386,0.168,0.192,0,2.471,0.156,0.168,0,3.354,0.027,0.051,0,2130.251,821.045,830.516,0,0.0776,0.0152,0.0156,0,0.0148,0.0015,0.0016,0,2136.587,821.881,831.391,--,--,0,0.248,0.024,0.027,0,0.191,0.023,0.024,0,0.245,0.004,0.007,0,155.75,118.518,119.046,0,0.0057,0.0022,0.0022,0,0.0011,0.0002,0.0002,0,156.213,118.639,119.172,--,--,0.512,0.412,0.257,918.302,0.071,0.009,922.779,--,0,313173.615,24245941.818,16464167,313544.36,513984.927,11351,407512.46,0,491818.354,-124,41514976.787,1246392.747,932848.387,25564794.714,17196574.82,0,0.00732372957813069,0.567004092097996,0.385023198193702,0.00733239964480423,0.0120198076475352,0.00026544910062542,0.00952989304912803,0,0.0115014306880781,0,0.970852366035447,0.0291476339645525,0.0218151497972887,0.597847893848984,0.402152106151016,0,177872.001,6032693.49429484,0,0,247156.976616593,0,0,0,0,0,0,0.0275440763788895,0.934182836214269,0,0,0.0382730874068418,0,0,0,0,0
2022,DC,11,55.5,1194568.229,524257.997,1270479.229,562268.997,160237.001,71544.999,230.845,98.173,2.621,44383.722,2687.189,268.833,44457.369,--,2.881,2.744,0.033,553.976,0.017,0.002,554.895,--,0.386,0.375,0.004,74.309,0.002,0,74.433,--,3.346,3.187,0.038,643.294,0.019,0.002,644.361,--,0,0,2.675,2.675,0,0,2.679,2.679,0,0,0.03,0.03,0,0,1106.476,1106.476,0,0,0.0209,0.0209,0,0,0.0021,0.0021,0,0,1107.621,1107.621,--,--,0,0,0.283,0.283,0,0,0.282,0.282,0,0,0.003,0.003,0,0,116.889,116.889,0,0,0.0022,0.0022,0,0,0.0002,0.0002,0,0,117.01,117.01,--,--,3.678,3.616,0.041,464.256,0.019,0.002,465.286,--,0,17.866,80272.083,0,0,57698.991,0,22248,0,0,0,80289.949,79946.991,79946.991,137988.94,22248,0,0.000111497386308051,0.500958661592015,0,0,0.360085452205964,0,0.138844388815713,0,0,0,0.501070158978323,0.498929841021677,0.498929841021677,0.861155611184288,0.138844388815713,0,0,23354.9114629519,0,0,31890.8552412211,0,0,0,0,0,0,0,0.422745720735699,0,0,0.577254279264301,0,0,0,0,0
2022,DE,10,3441,39468146.633,21663637.922,41223805.634,22637498.922,5308370,2872690,1356.446,672.777,507.93,2386781.18,134195.448,16245.364,2390879.182,--,0.511,0.468,0.191,899.252,0.025,0.003,900.796,--,0.069,0.062,0.026,120.947,0.003,0,121.155,--,0.518,0.474,0.194,910.965,0.026,0.003,912.529,--,1.624,0.898,0.234,0.526,1.992,0.747,0.228,0.479,7.247,0.481,0.009,0.192,3160.795,1549.901,900.033,924.904,0.4197,0.032,0.0178,0.026,0.0614,0.0039,0.0019,0.0031,3189.574,1551.855,901.047,926.492,--,--,0.105,0.071,0.031,0.07,0.099,0.061,0.031,0.063,0.47,0.038,0.001,0.026,204.871,121.983,119.846,123.281,0.0272,0.0025,0.0024,0.0035,0.004,0.0003,0.0003,0.0004,206.737,122.137,119.981,123.493,--,--,0.539,0.49,0.235,1000.04,0.029,0.004,1001.838,--,104749.78,108258.394,4749644.805,0,0,78973,4377,63878,0,198489.04,0,5161142.019,147228,147228,5240115.019,68255,0.0197329462010135,0.0203939050240499,0.894746369977944,0,0,0.014877071439507,0.000824546891858256,0.0120334490194475,0,0.0373917114461798,0,0.972264932649187,0.0277350673508127,0.0277350673508127,0.987142004088694,0.0128579959113057,108090,341430,2989425.36782222,0,0,21118.6991936653,0,0,0,754098.156319879,0,0.0256492261739369,0.0810196622496742,0.709375958824838,0,0,0.00501136360549228,0,0,0,0.178943789146058,0
2022,FL,12,74176.9,1664176969.061,810435847.483,1706236195.061,828888298.482,257955504.155,123022604.416,39517.332,19414.407,18239.763,105189781.733,12137219.737,1575835.085,105576266.13,--,0.306,0.316,0.141,815.565,0.047,0.006,818.562,--,0.047,0.048,0.022,126.417,0.007,0.001,126.881,--,0.367,0.378,0.169,975.651,0.056,0.007,979.235,--,0.488,6.089,0.253,0.289,0.47,5.699,0.271,0.297,0.679,2.483,0.029,0.128,1517.249,1515.037,878.389,975.66,0.1327,0.1208,0.018,0.0355,0.0189,0.0242,0.0019,0.0045,1526.207,1525.258,879.418,977.896,--,--,0.054,0.655,0.035,0.038,0.052,0.817,0.037,0.039,0.075,0.267,0.004,0.017,168.287,162.934,119.906,128.664,0.0147,0.013,0.0025,0.0047,0.0021,0.0026,0.0003,0.0006,169.281,164.033,120.046,128.959,--,--,0.423,0.434,0.208,1048.899,0.056,0.007,1052.48,--,15227543.622,1310201.098,192832945.124,30768329,230962,3857020.264,0,11326224,0,1542617.005,859662.425,242541298.274,15414206.264,15183244.264,215629989.538,42325515,0.0590316676873115,0.00507917479933827,0.747543439591898,0.119277660134085,0.000895355966191357,0.0149522696594824,0,0.0439076654723276,0,0.00598016703602754,0.00333259965333813,0.940244708901999,0.0597552910980013,0.05885993513181,0.835919318427396,0.164080681572604,18461756.8351834,10366,86713612.6202559,0,0,2008536.21716044,0,0,0,0,0,0.172227084032723,9.67029286010783e-05,0.808938866482555,0,0,0.0187373465561205,0,0,0,0,0
