YEAR,SUBRGN,SRNAME,SRNAMEPCAP,SRHTIAN,SRHTIOZ,SRHTIANT,SRHTIOZT,SRNGENAN,SRNGENOZ,SRNOXAN,SRNOXOZ,SRSO2AN,SRCO2AN,SRCH4AN,SRN2OAN,SRCO2EQA,SRHGAN,SRNOXRTA,SRNOXRTO,SRSO2RTA,SRCO2RTA,SRCH4RTA,SRN2ORTA,SRC2ERTA,SRHGRTA,SRNOXRA,SRNOXRO,SRSO2RA,SRCO2RA,SRCH4RA,SRN2ORA,SRC2ERA,SRHGRA,SRNOXCRT,SRNOXCRO,SRSO2CRT,SRCO2CRT,SRCH4CRT,SRN2OCRT,SRC2ECRT,SRHGCRT,SRCNOXRT,SRONOXRT,SRGNOXRT,SRFSNXRT,SRCNXORT,SRONXORT,SRGNXORT,SRFSNORT,SRCSO2RT,SROSO2RT,SRGSO2RT,SRFSS2RT,SRCCO2RT,SROCO2RT,SRGCO2RT,SRFSC2RT,SRCCH4RT,SROCH4RT,SRGCH4RT,SRFCH4RT,SRCN2ORT,SRON2ORT,SRGN2ORT,SRFN2ORT,SRCC2ERT,SROC2ERT,SRGC2ERT,SRFSC2ERT,SRCHGRT,SRFSHGRT,SRCNOXR,SRONOXR,SRGNOXR,SRFSNXR,SRCNXOR,SRONXOR,SRGNXOR,SRFSNOR,SRCSO2R,SROSO2R,SRGSO2R,SRFSS2R,SRCCO2R,SROCO2R,SRGCO2R,SRFSC2R,SRCCH4R,SROCH4R,SRGCH4R,SRFCH4R,SRCN2OR,SRON2OR,SRGN2OR,SRFN2OR,SRCC2ER,SROC2ER,SRGC2ER,SRFSC2ER,SRCHGR,SRFSHGR,SRNBNOX,SRNBNXO,SRNBSO2,SRNBCO2,SRNBCH4,SRNBN2O,SRNBC2E,SRNBHG,SRGENACL,SRGENAOL,SRGENAGS,SRGENANC,SRGENAHY,SRGENABM,SRGENAWI,SRGENASO,SRGENAGT,SRGENAOF,SRGENAOP,SRGENATN,SRGENATR,SRGENATH,SRGENACY,SRGENACN,SRCLPR,SROLPR,SRGSPR,SRNCPR,SRHYPR,SRBMPR,SRWIPR,SRSOPR,SRGTPR,SROFPR,SROPPR,SRTNPR,SRTRPR,SRTHPR,SRCYPR,SRCNPR,SRNBGNCL,SRNBGNOL,SRNBGNGS,SRNBGNNC,SRNBGNHY,SRNBGNBM,SRNBGNWI,SRNBGNSO,SRNBGNGT,SRNBGNOF,SRNBGNOP,SRNBCLPR,SRNBOLPR,SRNBGSPR,SRNBNCPR,SRNBHYPR,SRNBBMPR,SRNBWIPR,SRNBSOPR,SRNBGTPR,SRNBOFPR,SRNBOPPR
2022,AKGD,ASCC Alaska Grid,2170.4,37437228.625,14757545.978,39771613.626,15808132.977,5016815.24,2005965.098,12674.975,5449.913,1060.22,2639129.872,439538.859,59541.192,2653495.747,--,5.053,5.434,0.423,1052.114,0.088,0.012,1057.841,--,0.677,0.739,0.057,140.99,0.0117406890184837,0.00159042734162858,141.757060789913,--,5.851,6.292,0.489,1218.253,0.101,0.014,1224.885,--,3.394,7.708,6.243,5.903,3.049,8.05,7.137,6.478,1.684,1.814,0.026,0.49,2298.755,1437.676,948.672,1229.12,0.2581,0.4455,0.0182,0.1024,0.0376,0.0604,0.0018,0.0139,2316.417,1466.826,949.668,1235.811,--,--,0.314,0.903,0.769,0.685,0.296,0.893,0.87,0.747,0.156,0.213,0.003,0.057,212.559,168.502,116.889,142.591,0.0239,0.0522,0.0022,0.0119,0.0035,0.0071,0.0002,0.0016,214.192,171.918,117.012,143.367,--,--,6.982,7.58,0.583,1224.498,0.123,0.017,1232.508,--,726934.03,442951.393,3124454.026,0,577650,40835.788,106519,0,0,0,-2529,4291810.449,725004.788,147354.788,4332646.237,684169,0.144899502106181,0.0882933438993619,0.622796311683264,0,0.115142769408711,0.00813978312352985,0.0212323944510456,0,0,0,0,0.855485053016713,0.144514946983287,0.0293721775745755,0.863624836140243,0.136375163859757,400876.837,385400.031,1622217.589,0,0,26859.05,0,0,0,0,0,0.164607247307582,0.158252192108212,0.666111751117141,0,0,0.0110288094670647,0,0,0,0,0
2022,AKMS,ASCC Miscellaneous,920.3,5510592.809,2320321.145,9497637.812,4094062.144,1677312.994,731640.009,6583.181,2654.618,570.438,415782.264,38969.509,6776.062,417279.022,--,7.85,7.257,0.68,495.772,0.023,0.004,497.557,--,2.389,2.288,0.207,150.903,0.00707174533679104,0.00122964302296719,151.446146163619,--,25.878,23.923,2.242,1634.428,0.077,0.013,1640.312,--,0,30.054,4.726,25.237,0,29.866,4.726,24.381,0,2.684,0.047,2.182,0,1571.817,1717.291,1599.484,0,0.085,0.0324,0.075,0,0.0153,0.0032,0.013,0,1578.51,1719.066,1605.241,--,--,0,3.118,0.322,2.381,0,3.118,0.322,2.28,0,0.278,0.003,0.206,0,163.071,116.889,150.897,0,0.0088,0.0022,0.0071,0,0.0016,0.0002,0.0012,0,163.765,117.01,151.441,--,--,25.415,24.56,2.185,1587.893,0.069,0.012,1593.296,--,0,404574.157,104921.983,0,1135776,0,32757,0,0,0,-716,508780.14,1168533,32757,508780.14,1168533,0,0.241203712861869,0.0625536046298427,0,0.677140107541279,0,0.0195294481506298,0,0,0,0,0.303330444308091,0.696669555691908,0.0195294481506298,0.303330444308091,0.696669555691908,0,396128.228,90790.582,0,0,0,0,0,0,0,0,0,0.813540614304721,0.186459385695279,0,0,0,0,0,0,0,0
2022,AZNM,WECC Southwest,52132.8,895513424.504,439212660.339,1016756665.504,491234118.343,170369549.355,80252846.15,35670.932,17703.744,10344.95,66106423.567,8605563.865,1191129.136,66391471.358,--,0.419,0.441,0.121,776.036,0.051,0.007,779.382,--,0.08,0.081,0.023,147.639,0.00960964250174852,0.00133010751531696,148.275770170106,--,0.694,0.732,0.201,1286.949,0.084,0.012,1292.498,--,1.408,21.042,0.42,0.689,1.432,21,0.42,0.692,0.719,10.083,0.006,0.2,2279.545,3858.583,920.334,1289.731,0.2492,0.1562,0.0154,0.079,0.0362,0.0312,0.0015,0.011,2296.568,3871.792,921.18,1294.973,--,--,0.127,0.891,0.054,0.079,0.13,0.89,0.055,0.08,0.065,0.427,0.001,0.023,204.835,163.326,118.715,148.757,0.0224,0.0066,0.002,0.0091,0.0033,0.0013,0.0002,0.0013,206.365,163.885,118.824,149.361,--,--,0.681,0.68,0.162,1205.221,0.065,0.009,1209.48,--,26741464.82,52170.086,75396777.468,31942793,5265826.9,549722.809,12608307,12000917.27,5818112,0,-6541,134126664.374,36242885.979,30977059.079,102733594.183,67635956.17,0.156961527248223,0.000306217196041812,0.442548432579533,0.187491209161588,0.0309082631790093,0.00322664940924592,0.0740056364172824,0.0704405056251807,0.0341499521947735,0,0,0.787268993174508,0.212731006825492,0.181822743646482,0.603004433422166,0.396995566577834,11724450.996,48,47306646.848,0,0,150614.326,0,0,0,0,0,0.198109197194032,8.1106070286498e-07,0.799345046722236,0,0,0.00254494502302982,0,0,0,0,0
2022,CAMX,WECC California,93348.4,896218688.361,413369937.666,1189168373.354,561538544.679,209353986.31,100690172.681,48898.837,21460.725,3161.128,52070843.883,6216882.175,786308.731,52262887.553,--,0.467,0.426,0.03,497.443,0.03,0.004,499.278,--,0.109,0.104,0.007,116.201,0.00693679149490779,0.000877362569216222,116.629765104716,--,0.895,0.817,0.058,953.572,0.057,0.007,957.089,--,2.893,22.559,0.654,0.798,2.853,26.321,0.61,0.767,0.581,1.24,0.009,0.041,2048.419,1785.611,924.284,985.496,0.238,0.075,0.0164,0.0287,0.0346,0.0148,0.0016,0.0035,2064.686,1791.903,925.185,987.255,--,--,0.289,1.911,0.083,0.1,0.293,2.21,0.077,0.096,0.058,0.105,0.001,0.005,204.929,151.279,117.983,124.11,0.0238,0.0064,0.0021,0.0036,0.0035,0.0013,0.0002,0.0004,206.557,151.812,118.098,124.331,--,--,0.777,0.733,0.055,1054.982,0.049,0.006,1058.038,--,5747480.4,166708.968,96713795.361,17593254,16586948,4973674.5,15084755,42696602.49,8180223,1586660.656,23886.42,121831785.805,87522202.99,70935254.99,109212206.305,100141782.49,0.0274534076617377,0.000796301847218406,0.461962993481354,0.0840359149651902,0.0792291949891721,0.0237572473714376,0.0720538217916212,0.203944537841162,0.0390736429101912,0.00757884129713746,0.00011409584377869,0.581941555096416,0.418058444903584,0.338829249914412,0.521662887502664,0.478337112497336,3957436.008,66415.69,54946436.992,0,0,1625997.024,0,0,0,261884.682,0,0.0650271932555867,0.00109131920770689,0.902860480916961,0,0,0.0267178098468278,0,0,0,0.00430319677291803,0
2022,ERCT,ERCOT All,139100.700000001,2381156709.686,1214787625.151,2816945847.835,1397431784.111,458259386.208,218228500.365,107142.869,53135.702,93353.018,176677933.698,22654197.119,3137777.029,177414565.013,--,0.468,0.487,0.407,771.083,0.049,0.007,774.298,--,0.09,0.087,0.078,148.397,0.00951394632148649,0.00131775326514053,149.01544639319,--,0.741,0.772,0.646,1221.844,0.078,0.011,1226.939,--,1.18,4.983,0.588,0.741,1.154,4.882,0.592,0.722,2.493,9.457,0.007,0.645,2277.614,2144.993,867.316,1226.532,0.2563,0.0541,0.0158,0.077,0.0372,0.0094,0.0016,0.0107,2295.12,2149.134,868.187,1231.632,--,--,0.108,0.397,0.08,0.09,0.105,0.387,0.08,0.088,0.229,0.753,0.001,0.078,208.964,170.721,118.607,149.076,0.0235,0.0043,0.0022,0.0094,0.0034,0.0007,0.0002,0.0013,210.57,171.051,118.726,149.695,--,--,0.858,0.856,0.665,1194.876,0.067,0.009,1199.153,--,71217303.749,355441.908,214342263.188,41606955,432960.16,952593.642,105613545,21407172.78,0,1980077.147,351074.97,329853115.962,128406271.582,127973311.422,289198754.604,169060632.94,0.15540828117168,0.000775634755471042,0.467731308979284,0.0907934591869219,0.000944792778431471,0.00207872150116845,0.230466735370172,0.0467140954705365,0,0.0043208654330292,0.000766105353305591,0.719795654879692,0.280204345120308,0.279259552341877,0.631080917193938,0.368919082806062,27634512.38,157269.979,106507226.404,0,0,387568.4,0,0,0,0,0,0.205176439716248,0.00116767374066518,0.790778328819058,0,0,0.00287755772402881,0,0,0,0,0
2022,FRCC,FRCC All,70809.8,1605344805.792,780399773.017,1645131987.792,797848442.016,250233810.647,119210508.044,37281.77,18230.567,17798.011,101825873.472,11980863.945,1553828.802,102207124.486,--,0.298,0.306,0.142,813.846,0.048,0.006,816.893,--,0.046,0.047,0.022,126.859,0.00746310942158574,0.000967909695408654,127.333547431358,--,0.357,0.367,0.171,976.4,0.057,0.007,980.055,--,0.488,6.089,0.238,0.277,0.47,5.699,0.254,0.284,0.679,2.483,0.03,0.132,1517.249,1515.037,873.191,974.556,0.1327,0.1208,0.018,0.036,0.0189,0.0242,0.0019,0.0046,1526.207,1525.258,874.22,976.834,--,--,0.054,0.655,0.033,0.037,0.052,0.817,0.035,0.037,0.075,0.267,0.004,0.017,168.287,162.934,119.945,129.026,0.0147,0.013,0.0025,0.0048,0.0021,0.0026,0.0003,0.0006,169.281,164.033,120.086,129.328,--,--,0.407,0.416,0.208,1044.441,0.056,0.007,1048.048,--,15227543.622,1271933.051,186173230.258,30768329,230962,3499328.43,0,10660326,0,1542496.072,859662.425,235843194.428,14390616.43,14159654.43,208574193.858,41659617,0.0608532618745161,0.00508297838185337,0.74399710262834,0.122958320038774,0.000922984784542421,0.0139842350560123,0,0.04260146126316,0,0.0061642192424401,0.00343543673036188,0.942491318896285,0.0575086811037148,0.0565856963191723,0.833517233913524,0.166482766086476,18461756.835,10366,84912366.285,0,0,1830571.291,0,0,0,0,0,0.17546686532363,9.85220172805231e-05,0.807036235625765,0,0,0.0173983770333236,0,0,0,0,0
2022,HIMS,HICC Miscellaneous,1045.2,19317545.67,7813635.687,22084287.674,9078114.687,2708213.003,1139469.263,9731.745,4131.899,4155.159,1564651.462,334729.085,51648.412,1574914.484,--,7.187,7.252,3.069,1155.486,0.124,0.019,1163.065,--,1.008,1.058,0.43,161.993,0.017327723237628,0.00267365289992349,163.055339524402,--,10.258,10.352,4.38,1649.32,0.176,0.027,1660.139,--,0,10.24,0,10.24,0,10.728,0,10.728,0,4.372,0,4.372,0,1636.649,0,1636.649,0,0.1761,0,0.1761,0,0.0272,0,0.0272,0,1647.448,0,1647.448,--,--,0,1.008,0,1.008,0,1.058,0,1.058,0,0.43,0,0.43,0,161.035,0,161.035,0,0.0173,0,0.0173,0,0.0027,0,0.0027,0,162.098,0,162.098,--,--,11.372,11.866,4.074,1619.21,0.157,0.025,1629.568,--,0,1743747.464,0,0,110081,96195.273,342276,150181,208346,0,57386.272,1801133.736,907079.273,796998.273,1897329.009,810884,0,0.643873823146531,0,0,0.0406470981544569,0.0355198327016086,0.126384445707387,0.0554539098294391,0.0769311717016422,0,0.0211897187589353,0.665063541905466,0.334936458094534,0.294289359940077,0.700583374607075,0.299416625392925,0,1301557.915,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022,HIOA,HICC Oahu,2298,63851861.145,27149186.618,66085923.145,28174889.618,6595979.001,2832273.002,12775.294,5251.404,20953.2,5195676.003,1072031.829,165485.213,5233733.697,--,3.874,3.708,6.353,1575.407,0.163,0.025,1586.947,--,0.4,0.387,0.656,162.742,0.0167893591475046,0.00259170539483889,163.933630223082,--,4.301,4.117,7.054,1749.029,0.18,0.028,1761.84,--,2.705,4.394,0,4.191,2.694,4.308,0,4.061,8.432,7.421,0,7.542,2341.087,1643.621,0,1727.274,0.2868,0.0771,0,0.1022,0.0415,0.0146,0,0.0179,2360.612,1649.912,0,1735.153,--,--,0.247,0.437,0,0.412,0.247,0.43,0,0.4,0.77,0.737,0,0.742,213.892,163.304,0,169.834,0.0262,0.0077,0,0.0101,0.0038,0.0015,0,0.0018,215.676,163.929,0,170.609,--,--,4.363,4.185,7.33,1810.29,0.177,0.028,1822.919,--,647757.91,4911430.616,0,0,0,180866.08,249904,404862,0,201338.287,-180,5760346.813,835632.08,835632.08,5941212.893,654766,0.0982049701049582,0.744609813899233,0,0,0,0.0274206577877235,0.0378873256045757,0.0613801236431579,0,0.0305243983138986,0,0.873311892964543,0.126688107035457,0.126688107035457,0.900732550752266,0.0992674492477337,472312.375,3043296.974,0,0,0,249679.661,0,0,0,0,0,0.125438545126354,0.808250566128944,0,0,0,0.066310888744702,0,0,0,0,0
2022,MROE,MRO East,8453.1,206298818.559,98970767.142,215542976.563,102895504.148,22864489.341,10417103.814,11179.38,5269.993,3494.462,16915394.89,3040541.332,440580.368,17019048.13,--,0.978,1.012,0.306,1479.621,0.133,0.019,1488.688,--,0.108,0.106,0.034,163.989,0.0147385300276474,0.0021356417408372,164.994140527593,--,1.109,1.148,0.347,1678.516,0.151,0.022,1688.801,--,0.786,0.754,1.5,1.093,0.779,0.595,1.527,1.125,0.531,1.577,0.017,0.326,2168.915,1058.199,1258.786,1759.098,0.2494,0.3616,0.0176,0.1512,0.0363,0.0499,0.0018,0.0216,2185.96,1082.099,1259.753,1769.316,--,--,0.076,0.079,0.141,0.104,0.074,0.064,0.134,0.103,0.051,0.165,0.002,0.031,208.886,110.836,118.374,167.88,0.024,0.0379,0.0017,0.0144,0.0035,0.0052,0.0002,0.0021,210.528,113.34,118.465,168.855,--,--,1.124,1.152,0.334,1672.86,0.147,0.021,1682.837,--,10480887.46,165221.245,8640723.735,0,1105467.24,855302.714,878912,724925,0,13049.21,0,19299881.65,3564606.954,2459139.714,20155184.364,2709304.24,0.458391510150218,0.0072261071682616,0.377910211973355,0,0.048348653632542,0.037407471857926,0.0384400462753512,0.0317052794206462,0,0.000570719521700438,0,0.844098548813535,0.155901451186465,0.107552797553923,0.881506020671461,0.118493979328539,6121737.501,253671.901,5334343.245,0,0,569662.339,0,0,0,0,0,0.498536575875779,0.0206583051089305,0.434413467627335,0,0,0.0463916513879556,0,0,0,0,0
2022,MROW,MRO West,76840,1205653341.966,571278425.945,1589996610.978,704046319.961,251623837.045,104576080.107,95338.286,44967.226,114102.385,117820953.952,25622635.227,3704684.14,118693234.821,--,0.758,0.86,0.907,936.485,0.102,0.015,943.418,--,0.158,0.157,0.189,195.447,0.0212520749830282,0.00307276064441455,196.894464917175,--,1.602,1.819,1.918,1980.347,0.215,0.031,1995.009,--,1.647,-58.478,1.126,1.569,1.639,-61.201,1.123,1.548,2.321,-14.284,0.025,1.928,2220.474,-7772.453,995.52,2010.738,0.2499,-0.284,0.0206,0.2104,0.0363,-0.0537,0.0021,0.0305,2237.555,-7795.566,996.675,2025.075,--,--,0.157,1.064,0.134,0.155,0.158,1.076,0.132,0.154,0.221,0.26,0.003,0.19,211.394,141.355,118.551,198.077,0.0238,0.0052,0.0025,0.0207,0.0035,0.001,0.0003,0.003,213.02,141.775,118.689,199.49,--,--,1.619,1.584,1.64,1794.666,0.183,0.026,1807.049,--,95599124.923,151733.848,20826283.049,20314709,9769373.91,1765166.488,100084649.43,2464916,0,305892.018,341988.352,137539731.19,114084105.828,104314731.918,118990188.678,132633648.34,0.379928730345851,0.000603018576452062,0.0827675282906928,0.0807344377255752,0.0388253117263336,0.00701510043292809,0.39775504028595,0.0097960353407363,0,0.00121567186012714,0.00135912541535378,0.546608512214051,0.453391487785948,0.414566176059615,0.472889174921405,0.527110825078595,37580459.128,84362.672,16828861.067,0,0,994385.957,0,0,0,10077.011,0,0.677148012116993,0.00152009892352082,0.303232852442583,0,0,0.0179174626917308,0,0,0,0.000181573825172387,0
